"countryISO","MicronutEvenness","MicronutDensityScore_W","VulnCC_W","VulnF_W","color","quartile","ISO","Vitamin_A_PII","Zinc_PII","Iron_PII","Calcium_PII","mean_PII","yield_5Y","cumulArea","RegionWB","hdi2018","TaxRichness","NutritionalDep"
"Timor Leste",0.711671913508197,188.960545382112,51.1865007317851,29.1976178894421,"#F07E4A","4","TLS",84.63974125,59.84506693,93.52692174,97.20366345,83.8038483425,31107.5890139823,77048.3314019,"East Asia & Pacific",0.626,129,0.13
"Tokelau",0.27587624895697,186.572125731463,39.3083043137695,41.6188671711595,"#F2874F","4","TKL",NA,NA,NA,NA,NA,27693.7268760919,319053.313163,"East Asia & Pacific",0.921,14,NA
"Trinidad and Tobago",0.616802701645471,166.745526614762,51.235392383352,43.8054837001554,"#E7BA72","2","TTO",36.29472443,15.37586658,1.148502752,24.18841743,19.251877798,33581.3933328787,75485.5671564,"Latin America & Caribbean",0.799,102,0.2
"Tunisia",0.618909965861503,171.422796971666,31.9463769664283,43.7464460543736,"#F1B46A","2","TUN",22.40589574,43.16949305,19.4851495,9.070964389,23.53287566975,142549.233244309,102062.320569,"Middle East & North Africa",0.739,164,0.13
"Turkey",0.3844676749108,179.447158922008,24.3012016015674,32.2511021728196,"#FAA25B","3","TUR",15.30704124,26.46804494,18.48084104,0.802415521,15.26458568525,263563.34028963,256330.779194,"Europe & Central Asia",0.807,122,0.06
"Turks & Caicos Isl.",0.595414778123558,163.08639939709,62.0516270857596,42.581262870953,"#E0BE78","2","TCA",NA,NA,NA,NA,NA,11510.1824382781,153544.503586,"Latin America & Caribbean",0.92,50,NA
"Tuvalu",0.208275109466982,186.846265207722,39.4350185371316,41.3023536502929,"#F2864E","4","TUV",NA,NA,NA,NA,NA,72751.9340204009,751661.629536,"East Asia & Pacific",NA,29,0.53
"Ukraine",0.4522729455851,163.287194945806,24.1833492785288,28.3432615728296,"#E0BE78","2","UKR",9.06712359,14.5518082,10.55519481,8.921817784,10.773986096,171172.267805493,132416.863163,"Europe & Central Asia",0.75,34,0.07
"United Arab Emirates",0.701189897925375,166.154143528007,64.5949281977,42.9376049235243,"#E6BA73","2","ARE",43.75252327,20.29435887,1.9183297465,4.274597964,17.559952462625,84227.9459555697,56825.44796217,"Middle East & North Africa",0.866,171,0.19
"United Kingdom",0.497046199623902,128.825303033878,28.0134174713076,44.5088693946237,"#8AC6A9","1","GBR",11.94043729,0.104226293,0.1599321545,3.942630143,4.036806470125,898616.330840783,768135.4214365,"Europe & Central Asia",0.92,165,0.06
"United States",0.49842392644665,120.512426187892,49.8707511450692,41.4653502235778,"#6FB3AE","1","USA",8.1743169085,0.11231374,0.835182134,3.146620633,3.067108353875,854980.805570783,8619132.10314,"North America",0.92,424,0.05
"Uruguay",0.39440251158636,150.860719898158,46.7593183024306,41.418643092939,"#C5CD8D","1","URY",6.583641384,2.594563996,1.271200897,27.83245706,9.57046583425,160492.905113994,133012.012816,"Latin America & Caribbean",0.808,137,0.02
"US Virgin Isl.",0.724868296081996,161.926957987934,63.7006871106827,43.7828412383546,"#DDC07A","2","VIR",NA,NA,NA,NA,NA,3686.44525511708,33731.1421703,"Latin America & Caribbean",NA,53,NA
"Vanuatu",0.5068018416817,178.817810017096,43.8090306326419,51.4577551033777,"#FAA55C","3","VUT",34.27811957,2.098034388,6.002164468,75.47254679,29.462716304,22031.8187852924,827588.446198,"East Asia & Pacific",0.597,55,0.45
"Venezuela",0.526298319888148,175.55515009757,37.4805785451399,42.6776568919377,"#FAAF63","3","VEN",22.1747543215,26.11223436,19.2693318085,27.70365166,23.8149930375,157282.588061004,474800.731303,"Latin America & Caribbean",0.726,120,0.06
"Vietnam",0.592693189242871,170.173696096377,51.377205924739,32.9528969192008,"#EFB66C","2","VNM",53.09318816,0.7004378000112,5.336668927,94.60311263,38.4333518792528,4735296.87354844,1395117.30231,"East Asia & Pacific",0.693,174,0.3
"Wallis & Futuna Isl.",0.55955478372779,183.973567106352,45.4281494110164,47.1454394156326,"#F59153","4","WLF",NA,NA,NA,NA,NA,4102.69615072024,258277.171922,"East Asia & Pacific",0.891,65,NA
